Sub-question 1.1 (Current situation),,,,,,,,,,,,,,,,,,,,,,,
"What are the atomic concepts, defined as minimal and independent, that constitute the foundations of a programming paradigm, and how can they be formalised mathematically within a coherent framework to ensure their non-contradiction and orthogonality?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Classification Framework,Framework Assessment Rationale,Theoretical Focus,Theoretical Focus Rationale,Academic Rigor,Academic Rigor Assessment,Classification Contribution,Contribution Assessment Rationale,Systematic Analysis,Systematic Analysis Rationale,Full-Text Accessibility,Accessibility Assessment,Publication Language,Language Assessment,Screening judgement,Final Screening Rationale,Screening score
Object-oriented systems: a cross-discipline overview,O. Díaz,10.1016/0950-5849(95)01044-0,https://doi.org/10.1016/0950-5849(95)01044-0,Information and Software Technology,5,1996,yes,"This criterion is clearly met, as the paper presents a formal classification system with ""four broad families"" (class-based, frame-based, terminological, and actor-based models) and provides a framework for comparison and description of concepts.",yes,"This criterion is strongly met, as the paper focuses on theoretical aspects of classification and conceptualization of object-oriented systems, dealing with fundamental concepts and models rather than implementation details.",maybe,"While the abstract doesn't explicitly state peer-review status, the technical nature, theoretical focus, and systematic approach strongly suggest this is an academic research paper rather than educational material or opinion piece.",yes,"The paper strongly meets this criterion, as it explicitly proposes ""a classification of object-oriented systems"" and aims to clarify different conceptualizations of objects across various domains. The focus on classification systems is central to the paper's purpose.",yes,"The paper appears to employ systematic analysis methods, presenting a structured approach to classification, with clear categories and theoretical foundations. The abstract suggests a rigorous analytical framework rather than informal description.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Include,"A comprehensive theoretical study proposing a systematic classification of object-oriented systems across four distinct models, demonstrating rigorous academic analysis of conceptual frameworks. The research provides a structured approach to understanding object-oriented paradigms, focusing on theoretical foundations and comparative categorization rather than implementation specifics. While meeting most screening criteria with high confidence, the full-text accessibility remains to be verified.",4.6
Conceptual Evolution of Object-Oriented Programming,P. Wegner,-,-,-,7,1989,maybe,"The paper examines ""paradigms"" and ""design alternatives"", but it does not explicitly mention formal classification systems or taxonomies, so it only partially meets this criterion.",yes,"The paper has a strong focus on theoretical aspects, including formal computational models, and examines fundamental questions about OOP's goals, origins, and paradigms, so it meets this criterion.",yes,"The systematic approach and theoretical focus of the paper suggest academic rigor, and the structure and depth of analysis indicate a peer-reviewed work, so it likely meets this criterion.",maybe,"The paper appears to analyze programming paradigms and language design alternatives, which contributes to the understanding of programming language classification systems, but it is not primarily focused on classification systems.",yes,"The paper appears to take a systematic approach to analyzing OOP, mentioning ""mathematical models"" and formal analysis, so it meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets the publication language criterion.",Exclude,"The abstract demonstrates strong theoretical foundations and systematic analysis of object-oriented programming, with a comprehensive examination of its paradigms, design alternatives, and computational models. While the work exhibits academic rigor and theoretical depth, it only partially addresses programming language classification systems, falling short of a complete classification framework. The study's primary focus appears to be understanding OOP as a paradigm rather than developing a formal classification system.",3.2
Formalization of information hiding design methods,"D. Lamb, Kevin A. Schneider",10.1145/962214,https://doi.org/10.1145/962214,Conference of the Centre for Advanced Studies on Collaborative Research,15,1992,no,"While the paper presents a theoretical framework, it is focused on design verification rather than language classification. The framework is more about design rules and verification than categorization, so it does not clearly meet this criterion.",maybe,"The paper has a strong theoretical focus on design verification and information-hiding, but the theoretical aspects are not specifically about language classification. Therefore, it only partially meets this criterion.",yes,"The paper appears to be a formal academic work with theoretical foundations and is part of a research project, so it likely meets this criterion.",maybe,"The paper presents a theoretical framework for analyzing programming languages, but it focuses more on design verification and information-hiding than classification systems specifically. Therefore, it only partially meets this criterion.",yes,"The paper employs formal analysis methods through theoretical modeling and uses systematic verification of design rules, so it meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this factor was considered neutral in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract presents a theoretical framework for design verification across programming languages, demonstrating systematic analysis and academic rigor. However, the work does not primarily focus on programming language classification systems, instead emphasizing design verification and information-hiding methodologies. While methodologically sound, the study only partially aligns with the specific screening criteria related to language classification.",2.9
Contributions to teaching object-oriented design and programming,"K. Lieberherr, A. Riel",10.1145/74877.74881,https://doi.org/10.1145/74877.74881,"Conference on Object-Oriented Programming Systems, Languages, and Applications",26,1989,no,"While the paper presents a ""formal agenda"" for teaching, it is not focused on classifying programming languages. The framework described is for teaching progression, not language classification, so it does not meet this criterion.",no,"While the paper is theoretical in nature, the focus is on pedagogical theory rather than language classification theory, so it does not meet this criterion.",yes,"The paper appears to be an academic work with a formal approach, and it is likely peer-reviewed given the technical nature and formal presentation, so it meets this criterion.",no,"The paper focuses on teaching object-oriented programming concepts and does not appear to contribute to programming language classification systems, so it does not meet this criterion.",maybe,"The paper presents a formal approach to teaching, which is a systematic analysis, but this analysis is for pedagogical purposes, not language classification. Therefore, it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which introduces uncertainty that affects the final score.",yes,"The abstract is written in English, so the paper meets the publication language criterion.",Exclude,"The abstract describes a pedagogical approach to teaching object-oriented programming, which fundamentally diverges from the screening criteria focused on programming language classification systems. Despite being an academic work in English, the paper fails to meet critical requirements related to language classification frameworks, theoretical contributions, and systematic analysis of programming language taxonomies. Consequently, the study does not align with the specified screening criteria.",1.4
THE CLASSIFICATION OF PROGRAMMING ENVIRONMENTS,"J. Kollár, Peter Václavík, J. Porubän",-,-,-,7,-,maybe,"The paper presents a classification system for environments (external vs. internal, explicit vs. implicit, object vs. modular), but this is specific to PFL rather than a general framework for classifying programming languages. Therefore, it only partially meets this criterion.",maybe,"While the paper includes theoretical elements (environment classification, formal definitions), it seems heavily focused on implementation aspects and practical applications, so it only partially meets this criterion.",yes,"The paper appears to be a technical research paper that discusses formal definitions and theoretical aspects, so it likely meets this criterion, though the peer-review status is unclear.",maybe,"The paper discusses classification of environments in programming languages, but it focuses more on a specific language (PFL) and its implementation aspects rather than general classification systems. Therefore, it only partially meets this criterion.",maybe,"The abstract mentions ""formalized definitions"" and ""requirements for safe programming"", suggesting some formal analysis, but the depth and systematicity are unclear. Therefore, it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract presents a technical paper about a programming language (PFL) that partially addresses classification and theoretical aspects, but lacks a comprehensive focus on general programming language classification systems. While the study includes formal definitions and environment categorizations, its primary emphasis appears to be on implementation and specific language features rather than systematic classification frameworks. The work demonstrates academic rigor but does not fully meet the screening criteria for a systematic review of programming language classification.",3.2
Teaching Programming with the Kernel Language Approach,"P. V. Roy, Seif Haridi",-,-,-,4,-,yes,"The paper presents a formal framework for categorizing programming languages through kernel languages, showing how different paradigms (imperative, object-oriented, concurrent, logic, functional) relate to each other.",yes,"The paper strongly focuses on theoretical aspects, discussing the ""science"" of programming, theoretical foundations, and formal semantics, rather than implementation details.",maybe,"While not explicitly stated as peer-reviewed, the paper appears to be a research work with formal analysis, theoretical foundations, and teaching applications. The mention of a textbook and university courses suggests academic rigor.",yes,"The paper presents a ""kernel language approach"" that situates multiple programming paradigms in a uniform setting, showing their relationships. This directly contributes to understanding programming language classification systems.",yes,"The abstract mentions ""formal semantics"" and indicates a systematic approach to analyzing relationships between programming paradigms. The ten-year research effort suggests rigorous analysis.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given that the paper appears to be an academic work with a textbook and teaching materials, it is likely available through academic channels.",yes,"The abstract is written in English, suggesting the paper is also written in English.",Include,"A comprehensive theoretical framework for programming language classification emerges through a systematic analysis of kernel languages, demonstrating rigorous academic exploration of programming paradigms across multiple dimensions. The study presents a novel approach to understanding programming language relationships, grounded in formal semantics and theoretical foundations, with clear contributions to classification systems and academic discourse.",4.6
Logic programming applications: what are the abstractions and implementations?,Yanhong A. Liu,10.1145/3191315.3191326,https://doi.org/10.1145/3191315.3191326,Declarative Logic Programming,6,2018,maybe,"The paper presents a formal classification system based on three key abstractions (join, recursion, constraint) and their implementations. However, this framework is for applications rather than programming languages themselves.",maybe,"The paper has a strong theoretical focus, discussing abstractions and their implementations rather than implementation details. However, this theoretical focus is on applications rather than language classification itself.",maybe,"Being a book chapter, there is some uncertainty about the peer review status. While it appears to be an academic work, the abstract does not confirm whether it has undergone peer review.",maybe,"The paper contributes to classification systems, but specifically for logic programming applications rather than programming languages themselves. It presents a classification based on abstractions and implementations, but this is more focused on application domains than language classification.",yes,"The abstract suggests a systematic approach to classification, organizing applications based on specific abstractions and implementations, which appears to meet the systematic analysis criterion.",maybe,"The abstract indicates that the paper is a book chapter, which may affect the accessibility of the full text. There is some uncertainty about whether the full text is accessible through university libraries, author websites, or public archives.",yes,"The abstract is written in English, meeting the publication language criterion.",Exclude,"The abstract presents a systematic classification of logic programming applications based on abstractions and implementations, but diverges from the core screening criteria by focusing on application domains rather than programming language classification. While demonstrating theoretical rigor and a structured analytical approach, the work's primary emphasis on application categorization creates uncertainty regarding its direct alignment with the specified screening requirements.",2.9
Incremental Static Semantic Analysis,W. Maddox,-,-,-,31,1998,no,"The paper presents a metalanguage for specifying static semantic analyses, but this is not a classification framework for programming languages themselves. It is focused on analysis tools.",no,"While the paper has a strong theoretical component, it focuses on compiler construction and analysis tools rather than theoretical aspects of language classification.",yes,"As a dissertation, this appears to be a rigorous academic work with formal analysis and implementation, meeting this criterion.",no,"The paper focuses on static semantic analysis and compiler construction rather than programming language classification systems. While it discusses programming languages, it does not contribute to their classification.",maybe,"The paper does employ systematic and formal analysis methods, including formal specification languages and incremental analysis algorithms. However, these are not applied to language classification.",maybe,"The abstract indicates that the paper is a dissertation, which typically means the full text is accessible through academic channels. However, this is not explicitly confirmed in the abstract.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The dissertation focuses on compiler construction and static semantic analysis, falling outside the systematic review's core criteria for programming language classification. Despite being a rigorous academic work with strong theoretical foundations, the paper does not contribute to understanding language classification systems or present a formal classification framework. Consequently, the work does not meet the essential screening requirements for inclusion in the review.",2.5
Systematic literature review of empirical studies on mental representations of programs,"Leah Bidlake, E. Aubanel, D. Voyer",10.1016/j.jss.2020.110565,https://doi.org/10.1016/j.jss.2020.110565,Journal of Systems and Software,15,2020,no,I indicates that there is no evidence of the paper presenting or analyzing formal classification systems for programming languages. The focus is on mental representations and program comprehension.,no,"I indicates that while the paper is theoretical in nature, the focus is on program comprehension psychology, not the theoretical aspects of language classification.",yes,"I states that the paper is clearly a systematic review with formal methodology, and therefore meets the academic rigor criterion well.",no,I states that the paper focuses on mental representations during program comprehension and does not appear to directly contribute to programming language classification systems. The focus is on the psychology of programming rather than language classification.,maybe,"I notes that the paper itself is a systematic review, showing rigorous methodology. However, the analysis is focused on program comprehension, not language classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, as this information is not provided in the abstract. I notes that while the paper is a systematic review, which suggests it is likely an academic paper, they cannot confirm the full-text accessibility.",maybe,"I notes that the abstract is in English, but they cannot confirm if the full paper is exclusively in English or French.",Exclude,"The systematic review focuses on program comprehension and mental representations, lacking direct contributions to programming language classification systems. While academically rigorous, the study does not meet the specific screening criteria related to language classification frameworks or theoretical classification approaches. The research primarily explores psychological aspects of programming rather than systematic language categorization.",2.5
Maintaining causality between design regularities and source code,Faculteit Wetenschappen,-,-,-,11,2007,no,"The paper does present formal classification systems and taxonomies, but these are for source code regularities rather than programming languages themselves. It discusses three categories (stylistic, implementation, and design-level regularities) and their subcategories, but this framework is not focused on programming language classification.",no,"While the paper has a strong theoretical focus, it is not focused on programming language classification theory. Instead, it focuses on theoretical aspects of source code regularities and their classification.",yes,"The paper appears to be an academic work with proper citations and theoretical foundations, suggesting it meets this criterion.",no,"The paper appears to focus on structural source-code regularities and their classification/taxonomy, but not specifically on programming language classification systems. While it discusses classification of code patterns, this is not directly aligned with the criterion's focus on programming language classification.",maybe,"The paper appears to employ systematic analysis methods, presenting a structured taxonomy and theoretical framework for analyzing source code regularities. However, this analysis is not focused on programming language classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this factor was considered neutral.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The document presents a systematic analysis of source code regularities with a robust theoretical framework, but its focus diverges from programming language classification systems. While demonstrating academic rigor and employing systematic methods, the paper's core contribution lies in classifying code patterns rather than programming language taxonomies. Consequently, the work does not align sufficiently with the specific screening criteria for programming language classification research.",2.7
"Some logic and related formalisms, programming paradigms, and development environments for the (new) AI",M. Cubrilo,10.23919/mipro.2018.8400171,https://doi.org/10.23919/mipro.2018.8400171,"International Convention on Information and Communication Technology, Electronics and Microelectronics",0,2018,no,"While the paper presents various logic systems and programming languages, it does not appear to present a formal classification system or taxonomy for programming languages. It is more of a survey of different logical approaches and their applications.",maybe,"The paper does focus on theoretical aspects, particularly regarding logical foundations and their relationship to programming languages. However, this is not specifically about language classification theory.",maybe,"The abstract appears to be from an academic work, but it is unclear if it is peer-reviewed. The writing style suggests it might be more of a survey or overview paper.",no,"The paper discusses various logic systems and their relationship to programming languages, but does not appear to focus on classification systems for programming languages themselves. It is more about the relationship between logic systems and AI/programming languages.",no,The abstract suggests a descriptive overview rather than a systematic analysis. It appears to be presenting a selection of logic systems and their applications rather than analyzing them systematically.,maybe,"The abstract does not provide information about the accessibility of the full text, so this criterion is uncertain based on the information available.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract discusses logic systems and their applications in AI, but fails to meet key screening criteria related to programming language classification systems. While theoretically oriented and written in English, the text lacks a systematic analysis of language classification frameworks and does not present a formal taxonomy for categorizing programming languages. The work appears more focused on surveying logical approaches and their applications rather than addressing the specific research questions of interest.",2.7
