Sub-question 1.2 (Contribution),,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can we define a set of conceptual primitives that enable programming paradigms to be reconstructed in a minimal and orthogonal manner, and how can we formally guarantee these properties within a unified mathematical framework?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Fundamental Analysis,Fundamental Analysis Rationale,Formal Framework,Formal Framework Assessment,Paradigm Theory,Paradigm Theory Rationale,Language Design Principles,Design Principles Assessment,Theoretical Foundation,Theoretical Foundation Rationale,Implementation Focus,Implementation Focus Assessment,Theoretical Contribution,Contribution Assessment Rationale,Publication Language,Language Assessment,Full-Text Accessibility,Accessibility Assessment,Screening judgement,Final Screening Rationale,Screening score
Modularity in Logic Programming,"M. Bugliesi, E. Lamma, P. Mello",10.1016/0743-1066(94)90032-9,https://doi.org/10.1016/0743-1066(94)90032-9,The Journal of Logic Programming,183,1994,yes,"The study analyzes fundamental programming language constructs at a theoretical level, particularly regarding module systems and logical connectives.",maybe,"The paper appears to deal with formal aspects of logic programming, including Horn clauses and logical connectives, suggesting a formal mathematical framework is present.",yes,"The paper explicitly compares different approaches to logic programming and discusses programming paradigms, meeting the paradigm theory criterion.",maybe,"The paper discusses module systems and compositional operators in logic programming, which relates to fundamental design principles, but it does not explicitly address orthogonality or minimality.",yes,"The paper provides strong evidence of a theoretical foundation through discussion of logical connectives, Horn clauses, and formal mapping between different approaches.",yes,"The paper appears to focus on theoretical aspects rather than implementation details, meeting the implementation focus criterion.",yes,"The paper clearly focuses on theoretical contributions, providing a ""uniform reconstruction"" of different approaches and formal mappings between them.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research demonstrates a robust theoretical approach to logic programming, presenting a formal framework that explores module systems, logical connectives, and paradigm foundations through a rigorous comparative analysis. By focusing on fundamental programming language constructs and providing a uniform reconstruction of different approaches, the study offers significant theoretical contributions that align closely with the screening criteria. The work's emphasis on mathematical frameworks and theoretical mapping suggests a deep engagement with programming language design principles.",4.6
of Logic,-,-,-,-,3,2022,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, including atomic commands, operators, and their semantic properties, which strongly meets the fundamental analysis criterion.",yes,"The paper clearly presents a formal mathematical framework, using predicate calculus as a basis for semantics and formal verification of program correctness, which strongly meets the formal framework criterion.",yes,"The paper explicitly examines the logic programming paradigm, including its fundamental characteristics and how it differs from other paradigms, which strongly meets the paradigm theory criterion.",yes,"The paper discusses fundamental design principles of logic programming, including how programs relate to specifications and how operators transform predicates, which strongly meets the language design principles criterion.",yes,"The paper has a strong theoretical foundation, using predicate calculus and formal semantics to analyze programming language properties, which strongly meets the theoretical foundation criterion.",yes,"While implementation aspects are mentioned (parallel implementation, impure features), these serve to support the theoretical framework rather than being the primary focus, which meets the implementation focus criterion.",yes,"The paper focuses on theoretical understanding, providing a unifying theory for programming and formal analysis of program correctness, which strongly meets the theoretical contribution criterion.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"This research presents a rigorous theoretical framework for logic programming, utilizing predicate calculus to formally analyze programming language semantics and paradigm foundations. The study provides a comprehensive examination of fundamental programming constructs, offering a unifying theory that explores program correctness, specification, and computational principles through a mathematical lens. Its strong theoretical contribution and focus on formal analysis of programming paradigms make it an exemplary match for the screening criteria.",4.9
Attribute grammar paradigms—a high-level methodology in language implementation,J. Paakki,10.1145/210376.197409,https://doi.org/10.1145/210376.197409,CSUR,395,1995,yes,The paper analyzes fundamental programming language constructs through the formalism of attribute grammars and their relationship to different programming paradigms.,yes,The paper explicitly discusses formal attribute grammar theory and its use as a formal mathematical framework for analyzing programming language properties.,yes,"The paper explicitly examines and compares different programming paradigms (structured, modular, object-oriented, logic, and functional) through the lens of attribute grammars.",maybe,"The paper discusses attribute grammars as a formalism for specifying programming languages, which relates to fundamental design principles, but it does not explicitly address orthogonality or minimality.",yes,The paper is based on formal attribute grammar theory and discusses theoretical foundations across different programming paradigms.,yes,The paper discusses implementation aspects (automatic production of language implementations) but uses these to support broader theoretical contributions about specification languages.,yes,"The paper appears to focus on theoretical understanding, presenting a taxonomy and analysis of different paradigms rather than practical implementations.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but the fact that it is a survey paper suggests it may be more widely available.",Include,"A comprehensive survey exploring attribute grammars across multiple programming paradigms, demonstrating strong theoretical foundations and formal mathematical frameworks for analyzing language specifications. The research provides a rigorous examination of programming language design principles, offering a systematic taxonomy of structured, modular, object-oriented, logic, and functional attribute grammars. Its theoretical contribution focuses on fundamental language constructs and paradigm analysis, with a clear emphasis on formal specification and comparative theoretical understanding.",4.6
Concatenative Programming - An Overlooked Paradigm in Functional Programming,"D. Herzberg, T. Reichert",10.5220/0002281402570262,https://doi.org/10.5220/0002281402570262,International Conference on Software and Data Technologies,10,2009,yes,The paper analyzes fundamental programming language constructs through the lens of concatenative programming and its relationship to functional programming.,maybe,"The abstract mentions that the paper ""formally introduces"" Concat, suggesting a formal mathematical framework, though details are not provided.",yes,"The paper explicitly examines programming paradigms, specifically concatenative programming and its relationship to functional programming.",maybe,"The paper discusses a programming paradigm (concatenative programming) and presents a formal language (Concat), suggesting investigation of fundamental design principles, though orthogonality and minimality are not explicitly mentioned.",yes,"The paper appears to have a theoretical foundation, as it presents a formal language and discusses fundamental software engineering research.",yes,The paper presents a research prototype (Concat) but uses it to support theoretical contributions rather than focusing on practical implementation.,yes,"The paper appears to focus on theoretical contributions, discussing fundamental software engineering research and new viewpoints on programming paradigms.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A theoretical exploration of concatenative programming presents a formal language prototype that examines fundamental software engineering principles and programming paradigms. The research offers a novel perspective on functional programming through a rigorous theoretical framework, focusing on conceptual analysis rather than practical implementation. By introducing a new programming paradigm, the study contributes to understanding computational primitives and language design principles.",4.6
Programming paradigms of the Andorra Kernel Language Programming,"Sverker Janson, Seif Haridi",-,-,-,4,1991,yes,"The paper analyzes fundamental programming language constructs, particularly regarding search and concurrent reactive processes.",maybe,"The abstract mentions the ""Kernel Andorra Prolog framework"" and references formal overhead, suggesting some formal framework, though the extent is not entirely clear.",yes,"The paper explicitly examines programming paradigms, comparing Prolog and GHC, and discusses theoretical capabilities beyond these paradigms.",maybe,"The paper discusses the design of AKL and its relationship to Prolog and GHC, suggesting investigation of fundamental design principles, though it does not explicitly mention orthogonality or minimality.",maybe,"The paper appears to have a theoretical foundation, discussing programming paradigms and formal frameworks, though the abstract does not explicitly detail the mathematical framework.",maybe,"The abstract suggests a balance between theoretical and implementation aspects, with implementation details serving theoretical contributions.",yes,"The paper appears to make theoretical contributions, particularly in combining programming paradigms and extending capabilities, and is not focused on practical patterns or optimization.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The formal nature of the paper suggests it is likely an academic paper with accessible full text, though this cannot be determined from the abstract alone.",Exclude,"The abstract demonstrates strong theoretical foundations in programming language design, particularly through its exploration of programming paradigms and fundamental language constructs. It presents a novel language framework (AKL) that extends existing programming paradigms, with a focus on theoretical contributions and fundamental analysis of computational primitives. The research appears to provide a rigorous examination of language design principles, though some details of the formal framework remain implicit in the abstract.",4.3
What we talk about when we talk about monads,T. Petříček,10.22152/programming-journal.org/2018/2/12,https://doi.org/10.22152/programming-journal.org/2018/2/12,"The Art, Science, and Engineering of Programming",7,2018,yes,"The paper analyzes fundamental programming language constructs (monads) at a theoretical level, examining their formal definition, historical development, and conceptual understanding, meeting the fundamental analysis criterion.",yes,"The paper explicitly mentions formal definitions of monads and presents a framework for understanding programming concepts at three levels: formal, metaphorical, and implementation, meeting the formal framework criterion.",yes,"The paper examines programming concepts through multiple theoretical lenses and discusses how research paradigms influence programming concepts, meeting the paradigm theory criterion.",yes,"The paper discusses monads, which are fundamental programming language constructs, and their formal definition and syntactic support in programming languages, meeting the language design principles criterion.",yes,"The paper has a strong theoretical foundation, incorporating philosophy of science, philosophy of mathematics, and cognitive sciences to analyze programming concepts, meeting the theoretical foundation criterion.",yes,"While implementation is discussed, it's presented as one of three levels of analysis, supporting broader theoretical contributions rather than being the sole focus, meeting the implementation focus criterion.",yes,"The paper clearly focuses on theoretical understanding, providing a framework for understanding programming concepts and their evolution, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Include,"This research provides a comprehensive theoretical exploration of programming language concepts, specifically monads, through multiple disciplinary lenses including philosophy, cognitive science, and formal analysis. The study offers a rigorous framework for understanding programming constructs at formal, metaphorical, and implementation levels, with a strong emphasis on theoretical foundations and paradigmatic analysis. By examining the historical, philosophical, and cognitive dimensions of programming concepts, the research contributes significantly to theoretical understanding of computational principles.",4.6
Mechanising a Unifying Theory,"Gift Nuka, J. Woodcock",10.1007/11768173_13,https://doi.org/10.1007/11768173_13,Unifying Theories of Programming,16,2006,yes,"The paper analyzes fundamental programming language constructs through formal semantics and theoretical frameworks, meeting the fundamental analysis criterion.",yes,"The paper presents a formalization of UTP using the alphabetised relational calculus and develops a formal verification framework, strongly meeting the formal framework criterion.",yes,"The paper explicitly examines multiple programming paradigms (functional, imperative, logic, and parallel) within a unifying theoretical framework, strongly meeting the paradigm theory criterion.",maybe,"The paper discusses unifying theories of programming (UTP) and relates different programming paradigms, which implies investigation of fundamental design principles, though it does not explicitly mention orthogonality or minimality.",yes,"The paper is built on formal theoretical foundations, using Z formal semantics and theorem proving, clearly meeting the theoretical foundation criterion.",yes,"While implementation tools (ProofPowerZ) are mentioned, they serve to support the theoretical contributions rather than being the focus, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical foundations and formal verification rather than practical aspects, clearly meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The formal nature and use of specific tools (ProofPowerZ) suggests this is likely a published academic paper, but the full-text accessibility cannot be determined from the abstract alone.",Include,"A rigorous theoretical study exploring unifying theories of programming through formal mathematical frameworks, examining multiple programming paradigms with deep semantic analysis. The research presents a comprehensive approach to understanding programming language foundations using formal verification techniques and theorem proving, demonstrating strong alignment with theoretical research criteria.",4.9
Unifying theories of healthiness condition,"J. He, C. Hoare",10.1109/APSEC.2000.896685,https://doi.org/10.1109/APSEC.2000.896685,Proceedings Seventh Asia-Pacific Software Engeering Conference. APSEC 2000,2,2000,yes,"The study analyzes fundamental programming language constructs through algebraic laws and healthiness conditions, meeting this criterion.",yes,"The abstract explicitly mentions Boolean algebra, algebraic laws, and formal constructions (Karoubi and Kleisli), indicating a strong formal mathematical framework.",yes,"The abstract explicitly mentions examining ""a wide range of programming paradigms"" including nondeterministic, sequential, parallel, logical, and probabilistic, strongly meeting this criterion.",yes,"The paper discusses fundamental design principles through ""healthiness conditions"" and algebraic laws for programming languages, strongly meeting this criterion.",yes,"The paper presents a clear theoretical foundation based on Boolean algebra and formal mathematical constructions, meeting this criterion.",yes,"The paper discusses implementation feasibility while maintaining focus on theoretical contributions through healthiness conditions, meeting this criterion.",yes,"The paper focuses on theoretical foundations and formal analysis rather than practical aspects, meeting this criterion.",yes,"The paper is written in English, meeting this criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A comprehensive theoretical exploration of programming language design principles across multiple paradigms, utilizing rigorous mathematical frameworks like Boolean algebra and formal constructions. The research systematically examines fundamental language constructs through healthiness conditions, providing a unified theoretical approach to understanding programming language foundations. By investigating nondeterministic, sequential, parallel, logical, and probabilistic paradigms, the study offers a deep theoretical contribution to programming language analysis.",4.9
Multi-paradigm Declarative Languages,M. Hanus,10.1007/978-3-540-74610-2_5,https://doi.org/10.1007/978-3-540-74610-2_5,International Conference on Logic Programming,106,2007,yes,"The paper appears to analyze fundamental programming language constructs at a theoretical level, particularly regarding declarative programming and its various forms.",maybe,"The abstract mentions ""underlying formalism"" and discusses different classes of declarative languages, suggesting some formal framework analysis, though the depth isn't entirely clear.",yes,"The paper explicitly focuses on different programming paradigms (functional, logic, constraint programming) and their theoretical combination.",maybe,"The paper appears to discuss fundamental design principles by examining how different declarative programming paradigms can be combined, suggesting some coverage of language design principles.",maybe,"The paper appears to have a theoretical foundation, discussing different classes of declarative languages and their combination, suggesting a theoretical approach rather than purely practical.",yes,The abstract suggests a theoretical focus on combining paradigms rather than implementation details.,yes,The paper appears to focus on theoretical aspects of combining programming paradigms rather than practical implementations.,yes,"The abstract is written in English, meeting this criterion. However, the full paper's language cannot be determined from the abstract alone.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Include,"The abstract demonstrates strong alignment with theoretical programming language research, particularly in examining declarative programming paradigms and their potential combination. It shows clear engagement with fundamental language design principles, paradigm theory, and theoretical contributions across functional, logic, and constraint programming domains. The study appears to prioritize theoretical analysis over practical implementation, suggesting a rigorous approach to understanding programming language foundations.",4.6
ATS: A Language That Combines Programming with Theorem Proving,"Sa Cui, Kevin Donnelly, H. Xi",10.1007/11559306_19,https://doi.org/10.1007/11559306_19,International Symposium on Frontiers of Combining Systems,147,2005,yes,"The paper examines type equality, constraint relations, and their theoretical properties, suggesting a focus on fundamental analysis.",yes,"The paper explicitly deals with formal type systems and theorem proving, indicating a rigorous mathematical framework. The discussion of constraint relations and their decidability suggests formal analysis.",maybe,"The abstract mentions ""programming paradigm"" and discusses combining programming with theorem proving, suggesting some paradigm-level analysis, though this isn't the primary focus.",yes,"The paper discusses type systems and their formalization, which relates to fundamental design principles in programming languages. The focus on constraint relations and type equality suggests attention to core language design principles.",yes,"The paper appears to be grounded in mathematical theory, with a formal treatment of type systems, constraint relations, and theorem proving, suggesting a strong theoretical foundation.",yes,"The paper appears to balance theoretical and practical aspects appropriately. While it mentions ""practical programming,"" the focus seems to be on theoretical foundations with practical applications.",yes,"The paper presents a novel approach to type system design and formalization, with theoretical foundations in theorem proving, indicating a strong theoretical contribution.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A rigorous theoretical exploration of type systems and programming paradigms, presenting a novel approach to constraint relations and theorem proving with strong mathematical foundations. The study demonstrates deep engagement with fundamental programming language design principles, offering a sophisticated framework that bridges theoretical analysis and practical programming considerations. Its comprehensive treatment of type equality, constraint relations, and formal verification techniques positions it as a significant contribution to programming language theory.",4.9
Semantics of Interaction,S. Abramsky,10.1007/3-540-61064-2_24,https://doi.org/10.1007/3-540-61064-2_24,Colloquium on Trees in Algebra and Programming,102,1996,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on semantics and computational primitives.",yes,"The paper explicitly deals with formal mathematical frameworks, discussing denotational semantics, category theory, and game semantics as formal approaches to analyzing programming language properties.",yes,"The paper explicitly examines programming paradigms, comparing denotational and operational semantics, and discussing their theoretical foundations.",maybe,"The paper discusses fundamental principles of programming language semantics, particularly focusing on denotational and operational semantics, which addresses fundamental design principles, even if not explicitly about orthogonality or minimality.",yes,"The paper is deeply theoretical, discussing mathematical semantics, category theory, and formal approaches to programming language analysis, providing a strong theoretical foundation.",yes,"While implementation aspects are discussed, they serve to support broader theoretical contributions rather than being the primary focus.",yes,"The paper focuses entirely on theoretical contributions, particularly in developing ""Intensional Semantics"" as a theoretical framework.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"While the full-text accessibility cannot be determined from the abstract alone, the academic nature and citations of the paper suggest it is likely accessible through academic channels.",Include,"This scholarly work presents a rigorous theoretical exploration of programming language semantics, focusing on mathematical frameworks and fundamental design principles across denotational and operational paradigms. The research demonstrates deep engagement with formal theoretical foundations, examining computational constructs through advanced mathematical approaches like game semantics and category theory. Its comprehensive theoretical contribution addresses multiple dimensions of programming language analysis, emphasizing mathematical structure and computational dynamics.",4.9
Data Parallelism and Functional Programming,B. Lisper,10.1007/3-540-61736-1_50,https://doi.org/10.1007/3-540-61736-1_50,The Data Parallel Programming Model,32,1996,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on data parallel operations and their formal expression.",yes,"The paper explicitly mentions developing ""a formalism for data parallel functional programming"" and discusses theoretical foundations, indicating the use of a formal mathematical framework or rigorous verification approach.",yes,"The paper strongly focuses on paradigm theory, specifically examining the integration of data parallel and functional programming paradigms.",yes,"The paper discusses fundamental design principles in programming languages, particularly focusing on the integration of data parallelism and functional programming paradigms.",yes,"The paper presents a formal theoretical foundation for data parallel functional programming, including discussion of formalisms and theoretical integration of paradigms.",yes,"While the paper mentions practical aspects (like numerical computing), these appear to serve theoretical contributions rather than being the primary focus.",yes,"The paper appears to focus primarily on theoretical contributions, developing formalisms and analyzing paradigm integration rather than practical implementations.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a rigorous theoretical exploration of data parallel and functional programming paradigms, developing a formal framework that integrates computational principles across different programming approaches. By focusing on fundamental language design, paradigm theory, and theoretical contributions, the study offers a comprehensive analysis of programming language constructs at a deep mathematical level. The work demonstrates strong alignment with theoretical research criteria, examining computational primitives and paradigm foundations through a formal, systematic lens.",4.9
Syntactic finitism in the metatheory of programming languages,"C. Schürmann, Jeffrey Sarnat",-,-,-,4,2010,yes,"The paper analyzes fundamental aspects of programming language verification and proof systems at a theoretical level, meeting this criterion.",yes,"The paper explicitly deals with formal methods, mathematical soundness, and logical systems for verification. It discusses proof theory and formal proof assistants, strongly meeting this criterion.",maybe,"While the paper discusses programming language research broadly, it does not explicitly focus on paradigm foundations or comparative analysis of paradigms.",maybe,"The paper discusses formal methods for programming languages and reasoning principles, but does not explicitly focus on orthogonality or minimality. It is more focused on proof systems and verification.",yes,"The paper is deeply theoretical, discussing mathematical foundations, proof theory, and formal verification principles, clearly meeting this criterion.",yes,"The paper discusses implementation aspects (Twelf proof assistant) but primarily in service of theoretical contributions, meeting this criterion.",yes,"The paper focuses on theoretical foundations of proof systems and verification, proposing a philosophical viewpoint (syntactic finitism) and exploring theoretical implications, strongly meeting this criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The paper appears to be a dissertation, which typically has accessible full text through academic channels, but this cannot be confirmed from the abstract alone.",Include,"This dissertation presents a rigorous theoretical exploration of programming language verification, focusing on formal mathematical frameworks and proof systems with a strong emphasis on syntactic finitism. The research deeply engages with fundamental theoretical principles of programming language research, particularly in proof theory and logical reasoning, while proposing novel philosophical perspectives on verification methods. Its comprehensive theoretical approach and mathematical foundations demonstrate significant scholarly contribution to understanding programming language verification principles.",4.6
Automatic Synthesis of Typed Lambda-Programs on Term Algebras,"C. Böhm, A. Berarducci",10.1016/0304-3975(85)90135-5,https://doi.org/10.1016/0304-3975(85)90135-5,Theoretical Computer Science,232,1985,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on function definition and synthesis.",yes,"The paper clearly presents a formal mathematical framework, using lambda-calculus (Λ) and discussing formal properties like completeness theorems and congruence relations.",yes,"The paper examines fundamental aspects of programming paradigms through its analysis of lambda-calculus and term algebras, providing theoretical analysis of programming constructs.",yes,"The paper discusses fundamental design principles through its focus on lambda-calculus and term algebras, particularly examining how functions can be defined without conditional or recursive constructs.",yes,"The paper has a strong theoretical foundation, presenting formal proofs (completeness theorem) and mathematical frameworks for analyzing programming language properties.",yes,"The paper uses implementation examples (over integers, lists, and trees) to support theoretical contributions rather than focusing on practical aspects.",yes,"The paper makes clear theoretical contributions through its proofs, new congruence relations, and theoretical analysis of function synthesis.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"This research presents a rigorous theoretical exploration of programming language design principles through lambda-calculus, offering a formal mathematical framework for analyzing function synthesis and computational constructs. The study provides a comprehensive theoretical contribution by introducing novel congruence relations, proving completeness theorems, and examining fundamental programming paradigms with mathematical precision. Its focus on theoretical foundations, supported by examples across different data structures, demonstrates a deep scholarly investigation of computational language principles.",4.9
Programming Language Abstractions for Modularly Verified Distributed Systems,"James R. Wilcox, Ilya Sergey, Zachary Tatlock",10.4230/LIPIcs.SNAPL.2017.19,https://doi.org/10.4230/LIPIcs.SNAPL.2017.19,Summit on Advances in Programming Languages,23,2017,yes,"The paper analyzes fundamental programming language constructs in the context of distributed systems and verification, meeting the fundamental analysis criterion.",yes,"The paper explicitly mentions using a proof assistant and discusses formal verification approaches for distributed systems, strongly meeting the formal framework criterion.",yes,"The paper explicitly focuses on programming paradigms and their relationship to verification, particularly in the context of distributed systems, strongly meeting the paradigm theory criterion.",maybe,"The paper discusses programming paradigms and verification frameworks, but does not explicitly focus on orthogonality or minimality. However, it does address fundamental design principles in the context of distributed systems verification.",yes,"The paper presents a theoretical framework for modular verification of distributed systems, including typing disciplines and formal primitives, clearly meeting the theoretical foundation criterion.",yes,"While implementation is discussed, it is clearly in service of theoretical contributions to verification and programming paradigms, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical contributions to verification frameworks and programming paradigms rather than practical implementations, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a rigorous theoretical framework for distributed systems verification, focusing on programming paradigms and formal mathematical approaches to modular verification. By addressing fundamental design principles, paradigm theory, and theoretical contributions, the study offers a comprehensive examination of programming language constructs through a formal verification lens. The work demonstrates strong alignment with theoretical research criteria, particularly in its approach to analyzing computational primitives and verification methodologies.",4.6
Modeling Answer Constraints in Constraint Logic Programs,"M. Gabbrielli, G. Levi",-,-,International Conference on Logic Programming,69,1991,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on semantic properties and computational mechanisms, meeting the fundamental analysis criterion.",yes,"The paper presents a formal mathematical framework for analyzing CLP(X) programs, including operational, model-theoretic, and fixpoint semantics, as well as algebraic semantics, strongly meeting the formal framework criterion.",yes,"The paper explicitly examines the CLP(X) programming paradigm and its theoretical foundations, including comparative analysis with pure logic programs, strongly meeting the paradigm theory criterion.",maybe,"The paper discusses the CLP(X) paradigm and its semantic properties, which relates to fundamental design principles of programming languages, though it does not explicitly focus on orthogonality or minimality.",yes,"The paper is heavily theoretical, presenting formal semantics and mathematical frameworks for analyzing programming language properties, clearly meeting the theoretical foundation criterion.",yes,"While implementation aspects are discussed, they are clearly in service of theoretical contributions, particularly regarding program transformation and analysis techniques, meeting the implementation focus criterion.",yes,"The paper focuses entirely on theoretical contributions, developing new semantic frameworks and theoretical foundations rather than practical applications, strongly meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"While the full-text accessibility cannot be determined from the abstract alone, the technical nature and academic context of the paper suggest it is likely accessible through academic channels.",Include,"This research presents a rigorous theoretical exploration of the CLP(X) programming paradigm, offering a comprehensive formal framework for analyzing semantic properties and computational mechanisms. The study deeply engages with fundamental programming language constructs, paradigm theory, and mathematical foundations, demonstrating strong alignment with theoretical research criteria. Its focus on semantic analysis, theoretical contributions, and formal mathematical frameworks positions it as a substantive scholarly work in programming language theory.",4.9
Unified type system for the modern general-purpose programing language,"Alexey Kanatov, Eugene Zouev",10.15514/ispras-2022-34(3)-2,https://doi.org/10.15514/ispras-2022-34(3)-2,Proceedings of the Institute for System Programming of RAS,0,2022,yes,"The paper analyzes fundamental type system constructs and their theoretical foundations, meeting this criterion.",maybe,"The abstract mentions ""static type checking"" and ""type inference,"" suggesting some formal framework, but the depth of the mathematical rigor is not fully clear from the abstract.",yes,"The paper explicitly discusses the convergence of multiple paradigms (procedural, object-oriented, functional, and concurrent) and their theoretical integration, suggesting strong alignment with this criterion.",yes,"The paper discusses type system design principles and mentions minimality (2 basis constants), suggesting alignment with this criterion.",maybe,"The focus on type systems and their mathematical basis (2 basis constants) indicates a theoretical foundation, though the depth is not fully clear from the abstract.",yes,"The abstract suggests a theoretical focus rather than implementation details, meeting this criterion.",yes,"The paper appears to focus on theoretical aspects of type systems rather than practical implementation, meeting this criterion.",yes,"The paper is written in English, meeting this criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"A theoretical exploration of programming language type systems demonstrates strong alignment with paradigm convergence, fundamental design principles, and mathematical foundations across procedural, object-oriented, functional, and concurrent programming approaches. The study's focus on a minimalistic type system with two basis constants suggests a rigorous theoretical contribution to understanding programming language constructs and their underlying mathematical structures.",4.3
Frameworks compiled from declarations: a language‐independent approach,"P. V. D. Walt, C. Consel, E. Balland",10.1002/spe.2417,https://doi.org/10.1002/spe.2417,"Software, Practice & Experience",4,2017,yes,The paper analyzes fundamental programming language constructs through the lens of declaration-driven frameworks and their application across paradigms.,maybe,"While the paper mentions ""systematic"" application of concepts, it's not explicitly clear if it uses formal mathematical frameworks. The focus seems more practical than formal.",yes,"The paper explicitly examines programming paradigms, comparing object-oriented (Java) and functional (Racket) approaches and discussing framework development across paradigms.",yes,"The paper discusses fundamental design principles in programming languages, particularly focusing on declaration-driven frameworks and their application across paradigms.",maybe,"The paper appears to have some theoretical underpinning in analyzing framework concepts, but the abstract doesn't strongly indicate a formal theoretical foundation.",yes,The implementation aspects (prototype mobile application) serve to demonstrate theoretical contributions rather than being the primary focus.,yes,The paper contributes to theoretical understanding by identifying fundamental concepts in declaration-driven frameworks and their application across paradigms.,yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The abstract does not provide enough information to determine if the full text of the paper is accessible, but the copyright notice suggests it is likely accessible through academic channels.",Exclude,"The research explores declaration-driven programming frameworks across object-oriented and functional paradigms, demonstrating strong theoretical contributions in language design principles and paradigm theory. While the study systematically analyzes fundamental programming constructs and provides implementation insights, there remains some uncertainty regarding the depth of formal mathematical frameworks and rigorous verification approaches. The work appears to offer significant theoretical insights into programming language design and framework development.",4.3
A New Framework for Declarative Programming: Categorial Perspectives,"James Lipton, S. E. Finkelstein, P. Freyd",10.1007/3-540-60983-0_14,https://doi.org/10.1007/3-540-60983-0_14,Extensions of Logic Programming,1,1996,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on syntax and semantics.",yes,"The paper presents a formal mathematical framework using ""finite product categories"" and ""categorical semantics,"" indicating rigorous mathematical foundations.",yes,"The paper explicitly examines the declarative paradigm and provides theoretical analysis of programming paradigms, particularly logic programming.",maybe,"The paper discusses fundamental design principles in logic programming, particularly regarding syntax and semantics, even though it does not explicitly mention orthogonality or minimality.",yes,"The paper is built on formal theoretical foundations, including categorical semantics and the Kowalski-van Emden fixed point interpretation.",yes,The paper appears to focus on theoretical aspects rather than implementation.,yes,"The paper focuses on theoretical contributions, proposing a new framework and generalizing existing theoretical foundations rather than practical applications.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, but this is a common limitation in screening.",Include,"A rigorous theoretical exploration of logic programming semantics, presenting a novel categorical framework that generalizes existing paradigm foundations through mathematical formalism. The research deeply engages with fundamental programming language constructs, offering a sophisticated theoretical contribution to understanding declarative programming principles. Its strong mathematical approach and focus on paradigm theory demonstrate a comprehensive examination of computational semantics.",4.9
